,Year,Month,Day,xFRF_m,yFRF_m,d10_mm,d25_mm,d50_mm,d75_mm,d90_mm,gridname,GrainCategory
91,2020,01,09,81,960,0.183118181818182,0.22385,0.288413636363636,0.373261111111111,0.459141666666667,../data/AeolisGrids/ML_grids/20200109.txt,1.0
92,2020,01,09,84,960,0.18412,0.226280555555556,0.296765789473684,0.398794117647059,0.499375,../data/AeolisGrids/ML_grids/20200109.txt,1.0
93,2020,01,09,87,960,0.1979,0.24015,0.306572727272727,0.397538888888889,0.50025,../data/AeolisGrids/ML_grids/20200109.txt,1.0
94,2020,01,09,90,960,0.25929,0.336145,0.453525,0.599140625,0.7762775,../data/AeolisGrids/ML_grids/20200109.txt,1.0
95,2020,01,09,93,960,0.232495,0.2890375,0.367146875,0.463529761904762,0.567882727272727,../data/AeolisGrids/ML_grids/20200109.txt,1.0
96,2020,01,09,96,960,0.216375,0.260677272727273,0.321724074074074,0.395683333333333,0.479218181818182,../data/AeolisGrids/ML_grids/20200109.txt,1.0
97,2020,01,09,99,960,0.25508,0.336430357142857,0.457525,0.59175,0.727246,../data/AeolisGrids/ML_grids/20200109.txt,1.0
98,2020,01,09,102,960,0.253290909090909,0.313934210526316,0.401621739130435,0.51192,0.61765,../data/AeolisGrids/ML_grids/20200109.txt,1.0
99,2020,01,15,60,960,0.188763636363636,0.233,0.304063157894737,0.408196875,0.52715,../data/AeolisGrids/ML_grids/20200115.txt,1.0
100,2020,01,15,63,960,0.183233333333333,0.226304545454545,0.272359090909091,0.31981,0.36465,../data/AeolisGrids/ML_grids/20200115.txt,1.0
101,2020,01,15,66,960,0.174894444444444,0.218688095238095,0.266901612903226,0.31796111111111103,0.367465625,../data/AeolisGrids/ML_grids/20200115.txt,1.0
102,2020,01,15,69,960,0.15993,0.204005555555556,0.253731034482759,0.30620625,0.359642857142857,../data/AeolisGrids/ML_grids/20200115.txt,1.0
103,2020,01,15,72,960,0.17205,0.214178571428571,0.260743333333333,0.31185,0.36176,../data/AeolisGrids/ML_grids/20200115.txt,1.0
104,2020,01,15,75,960,0.188116363636364,0.226921428571429,0.28075,0.354632352941176,0.4597075,../data/AeolisGrids/ML_grids/20200115.txt,1.0
105,2020,01,15,78,960,0.206288461538462,0.248257142857143,0.312675,0.395976315789474,0.485636363636364,../data/AeolisGrids/ML_grids/20200115.txt,1.0
106,2020,01,15,81,960,0.2341,0.283321428571429,0.357010869565217,0.459664705882353,0.572318181818182,../data/AeolisGrids/ML_grids/20200115.txt,1.0
107,2020,01,15,84,960,0.214714285714286,0.2555,0.319041304347826,0.416828125,0.533372222222222,../data/AeolisGrids/ML_grids/20200115.txt,1.0
108,2020,01,15,87,960,0.2169,0.265492105263158,0.345452631578947,0.476775961538462,0.65104,../data/AeolisGrids/ML_grids/20200115.txt,1.0
109,2020,01,15,90,960,0.237235,0.305515178571429,0.4176390625,0.5804875,0.76195,../data/AeolisGrids/ML_grids/20200115.txt,1.0
110,2020,01,22,60,960,0.188433333333333,0.227330113636364,0.277125,0.340810526315789,0.4517925,../data/AeolisGrids/ML_grids/20200122.txt,
111,2020,01,22,63,960,0.227125,0.276268181818182,0.335788709677419,0.406082608695652,0.485636363636364,../data/AeolisGrids/ML_grids/20200122.txt,
112,2020,01,22,66,960,0.25775,0.303934615384615,0.359044117647059,0.420586206896552,0.4847,../data/AeolisGrids/ML_grids/20200122.txt,
113,2020,01,22,69,960,0.205260714285714,0.241983333333333,0.288717741935484,0.344184615384615,0.401860714285714,../data/AeolisGrids/ML_grids/20200122.txt,
114,2020,01,22,72,960,0.175141111111111,0.21986,0.271572222222222,0.3360275,0.42782,../data/AeolisGrids/ML_grids/20200122.txt,
115,2020,01,22,75,960,0.186883333333333,0.231365131578947,0.28865625,0.371124166666667,0.5189375,../data/AeolisGrids/ML_grids/20200122.txt,
116,2020,01,22,78,960,0.13374,0.164691666666667,0.230671666666667,0.3394,0.830388333333333,../data/AeolisGrids/ML_grids/20200122.txt,
117,2020,01,22,81,960,0.139617,0.177809375,0.250315625,0.34878875,0.727705,../data/AeolisGrids/ML_grids/20200122.txt,
118,2020,01,22,84,960,0.214392857142857,0.2531375,0.310302,0.435894444444444,0.70441,../data/AeolisGrids/ML_grids/20200122.txt,
119,2020,01,22,87,960,0.220585384615385,0.259934090909091,0.32219,0.54293,1.02367,../data/AeolisGrids/ML_grids/20200122.txt,
120,2020,01,22,90,960,0.229092307692308,0.274407142857143,0.347135,0.58555,1.02796,../data/AeolisGrids/ML_grids/20200122.txt,
121,2020,01,31,63,960,0.228004166666667,0.274,0.327131818181818,0.386944230769231,0.453075,../data/AeolisGrids/ML_grids/20200131.txt,
122,2020,01,31,66,960,0.246876666666667,0.304417261904762,0.370292741935484,0.442892788461538,0.518811153846154,../data/AeolisGrids/ML_grids/20200131.txt,
123,2020,01,31,69,960,0.23245,0.278904545454545,0.33826,0.40467,0.47268,../data/AeolisGrids/ML_grids/20200131.txt,
124,2020,01,31,72,960,0.21411,0.269408333333333,0.3449,0.4357175,0.5500925,../data/AeolisGrids/ML_grids/20200131.txt,
125,2020,01,31,75,960,0.1590025,0.217431818181818,0.312792857142857,0.54751,1.22887,../data/AeolisGrids/ML_grids/20200131.txt,
126,2020,01,31,78,960,0.216818181818182,0.266061111111111,0.355390625,0.539651136363636,0.762683333333333,../data/AeolisGrids/ML_grids/20200131.txt,
127,2020,01,31,81,960,0.210463846153846,0.253475,0.32755,0.540803571428572,0.900978,../data/AeolisGrids/ML_grids/20200131.txt,
128,2020,01,31,84,960,0.227297727272727,0.2758925,0.346559782608696,0.483304166666667,0.839856249999999,../data/AeolisGrids/ML_grids/20200131.txt,
129,2020,01,31,87,960,0.24803,0.304844375,0.379010869565217,0.526845833333333,0.975415,../data/AeolisGrids/ML_grids/20200131.txt,
130,2020,01,31,90,960,0.207718181818182,0.24856,0.296795454545455,0.349441379310345,0.407826923076923,../data/AeolisGrids/ML_grids/20200131.txt,
