,paths,year,month,day,hour,minute,coarse_pix
145,../data/masks/FRF_c1_snap_20180710160000_predseg.png,2018,07,11,16,00,311
146,../data/masks/FRF_c1_snap_20160702160000_predseg.png,2016,07,03,16,00,270
147,../data/masks/FRF_c1_snap_20160310160000_predseg.png,2016,03,11,16,00,1458
148,../data/masks/FRF_c1_snap_20180807160000_predseg.png,2018,08,08,16,00,1436
149,../data/masks/FRF_c1_snap_20210925160000_predseg.png,2021,09,26,16,00,184
150,../data/masks/FRF_c1_snap_20171118160000_predseg.png,2017,11,19,16,00,291
151,../data/masks/FRF_c1_snap_20170503160000_predseg.png,2017,05,04,16,00,1443
152,../data/masks/FRF_c1_snap_20150603160000_predseg.png,2015,06,04,16,00,348
153,../data/masks/FRF_c1_snap_20180330160000_predseg.png,2018,03,31,16,00,454
154,../data/masks/FRF_c1_snap_20181218160000_predseg.png,2018,12,19,16,00,826
155,../data/masks/FRF_c1_snap_20170215160000_predseg.png,2017,02,16,16,00,171
156,../data/masks/FRF_c1_snap_20210217160000_predseg.png,2021,02,18,16,00,380
157,../data/masks/FRF_c1_snap_20161118160000_predseg.png,2016,11,19,16,00,797
158,../data/masks/FRF_c1_snap_20170726160000_predseg.png,2017,07,27,16,00,3877
159,../data/masks/FRF_c1_snap_20170416160000_predseg.png,2017,04,17,16,00,181
160,../data/masks/FRF_c1_snap_20160731160000_predseg.png,2016,08,01,16,00,1164
161,../data/masks/FRF_c1_snap_20171013160000_predseg.png,2017,10,14,16,00,89
162,../data/masks/FRF_c1_snap_20180215160000_predseg.png,2018,02,16,16,00,207
163,../data/masks/FRF_c1_snap_20150716160000_predseg.png,2015,07,17,16,00,925
164,../data/masks/FRF_c1_snap_20190508160000_predseg.png,2019,05,09,16,00,4181
165,../data/masks/FRF_c1_snap_20160507160000_predseg.png,2016,05,08,16,00,2274
166,../data/masks/FRF_c1_snap_20170317160000_predseg.png,2017,03,18,16,00,554
167,../data/masks/FRF_c1_snap_20181112160000_predseg.png,2018,11,13,16,00,138
168,../data/masks/FRF_c1_snap_20150817160000_predseg.png,2015,08,18,16,00,694
169,../data/masks/FRF_c1_snap_20180120160000_predseg.png,2018,01,21,16,00,369
170,../data/masks/FRF_c1_snap_20180424160000_predseg.png,2018,04,25,16,00,13033
171,../data/masks/FRF_c1_snap_20190303160000_predseg.png,2019,03,04,16,00,1020
172,../data/masks/FRF_c1_snap_20150405160000_predseg.png,2015,04,06,16,00,1949
173,../data/masks/FRF_c1_snap_20191105160000_predseg.png,2019,11,06,16,00,129
174,../data/masks/FRF_c1_snap_20160207160000_predseg.png,2016,02,08,16,00,24993
175,../data/masks/FRF_c1_snap_20170329160000_predseg.png,2017,03,30,16,00,2320
176,../data/masks/FRF_c1_snap_20170217160000_predseg.png,2017,02,18,16,00,631
177,../data/masks/FRF_c1_snap_20170119160000_predseg.png,2017,01,20,16,00,452
178,../data/masks/FRF_c1_snap_20180329160000_predseg.png,2018,03,30,16,00,686
179,../data/masks/FRF_c1_snap_20180719160000_predseg.png,2018,07,20,16,00,994
180,../data/masks/FRF_c1_snap_20151216160000_predseg.png,2015,12,17,16,00,289
181,../data/masks/FRF_c1_snap_20201113160000_predseg.png,2020,11,14,16,00,21506
182,../data/masks/FRF_c1_snap_20210222160000_predseg.png,2021,02,23,16,00,1597
183,../data/masks/FRF_c1_snap_20190309160000_predseg.png,2019,03,10,16,00,2083
184,../data/masks/FRF_c1_snap_20180201160000_predseg.png,2018,02,02,16,00,208
185,../data/masks/FRF_c1_snap_20181126160000_predseg.png,2018,11,27,16,00,633
186,../data/masks/FRF_c1_snap_20181009160000_predseg.png,2018,10,10,16,00,719
187,../data/masks/FRF_c1_snap_20200705160000_predseg.png,2020,07,06,16,00,652
188,../data/masks/FRF_c1_snap_20191229160000_predseg.png,2019,12,30,16,00,20913
189,../data/masks/FRF_c1_snap_20200430160000_predseg.png,2020,05,01,16,00,97
190,../data/masks/FRF_c1_snap_20210206160000_predseg.png,2021,02,07,16,00,1995
191,../data/masks/FRF_c1_snap_20180910160000_predseg.png,2018,09,11,16,00,209
192,../data/masks/FRF_c1_snap_20160111160000_predseg.png,2016,01,12,16,00,291
193,../data/masks/FRF_c1_snap_20200226160000_predseg.png,2020,02,27,16,00,34
194,../data/masks/FRF_c1_snap_20160415160000_predseg.png,2016,04,16,16,00,472
195,../data/masks/FRF_c1_snap_20190321160000_predseg.png,2019,03,22,16,00,262
196,../data/masks/FRF_c1_snap_20160703160000_predseg.png,2016,07,04,16,00,345
197,../data/masks/FRF_c1_snap_20190209160000_predseg.png,2019,02,10,16,00,22299
198,../data/masks/FRF_c1_snap_20150908160000_predseg.png,2015,09,09,16,00,385
199,../data/masks/FRF_c1_snap_20160427160000_predseg.png,2016,04,28,16,00,391
200,../data/masks/FRF_c1_snap_20161007160000_predseg.png,2016,10,08,16,00,144
201,../data/masks/FRF_c1_snap_20160825160000_predseg.png,2016,08,26,16,00,156
202,../data/masks/FRF_c1_snap_20200512160000_predseg.png,2020,05,13,16,00,86
203,../data/masks/FRF_c1_snap_20180903160000_predseg.png,2018,09,04,16,00,430
204,../data/masks/FRF_c1_snap_20190614160000_predseg.png,2019,06,15,16,00,2475
205,../data/masks/FRF_c1_snap_20191117160000_predseg.png,2019,11,18,16,00,21410
206,../data/masks/FRF_c1_snap_20160618160000_predseg.png,2016,06,19,16,00,783
207,../data/masks/FRF_c1_snap_20180824160000_predseg.png,2018,08,25,16,00,994
208,../data/masks/FRF_c1_snap_20201228160000_predseg.png,2020,12,29,16,00,432
209,../data/masks/FRF_c1_snap_20151118160000_predseg.png,2015,11,19,16,00,31698
210,../data/masks/FRF_c1_snap_20160122160000_predseg.png,2016,01,23,16,00,163
211,../data/masks/FRF_c1_snap_20170522160000_predseg.png,2017,05,23,16,00,491
212,../data/masks/FRF_c1_snap_20191007160000_predseg.png,2019,10,08,16,00,2114
213,../data/masks/FRF_c1_snap_20190104160000_predseg.png,2019,01,05,16,00,1201
214,../data/masks/FRF_c1_snap_20191104160000_predseg.png,2019,11,05,16,00,284
